DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 poema_aristizabal_10_26_decoded	 3.251	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_27_decoded	 3.152	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_28_decoded	 2.880	 0.000	 0	 8000	-6.3600
 poema_aristizabal_10_29_decoded	 0.222	 0.000	 0	 8000	-5.5600
 poema_aristizabal_10_30_decoded	 3.152	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_31_decoded	 1.451	 0.000	 0	 8000	-4.7520
 poema_aristizabal_10_32_decoded	 3.258	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_33_decoded	 3.159	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_34_decoded	 3.146	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_35_decoded	 3.107	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_36_decoded	 3.311	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_37_decoded	 3.237	 0.000	 0	 8000	-6.3680
 poema_aristizabal_10_38_decoded	 3.272	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_39_decoded	 3.124	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_40_decoded	 3.220	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_41_decoded	 2.644	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_42_decoded	 3.011	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_43_decoded	 1.763	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_44_decoded	 3.109	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_45_decoded	 3.147	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_46_decoded	 3.148	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_47_decoded	 3.160	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_48_decoded	 1.663	 0.000	 0	 8000	0.0040
 poema_aristizabal_10_49_decoded	 1.999	 0.000	 0	 8000	-3.4880
 poema_aristizabal_10_50_decoded	 0.184	 0.000	 0	 8000	-1.6280
 poema_aristizabal_20_1_decoded	 0.177	 0.000	 0	 8000	-1.6040
 poema_aristizabal_20_2_decoded	 0.685	 0.000	 0	 8000	-1.6040
 poema_aristizabal_20_3_decoded	 1.789	 0.000	 0	 8000	-5.5600
 poema_aristizabal_20_4_decoded	 1.580	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_5_decoded	 2.086	 0.000	 0	 8000	-6.6440
 poema_aristizabal_20_6_decoded	 2.889	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_7_decoded	 2.793	 0.000	 0	 8000	-6.6280
 poema_aristizabal_20_8_decoded	 2.727	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_9_decoded	 2.900	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_10_decoded	 2.132	 0.000	 0	 8000	-4.7480
 poema_aristizabal_20_11_decoded	 2.069	 0.000	 0	 8000	-5.5680
 poema_aristizabal_20_12_decoded	 2.446	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_13_decoded	 1.758	 0.000	 0	 8000	-5.5560
 poema_aristizabal_20_14_decoded	 2.898	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_15_decoded	 3.188	 0.000	 0	 8000	-4.2240
 poema_aristizabal_20_16_decoded	 0.186	 0.000	 0	 8000	-1.6280
